Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,17 to 18 years,NA,Java; JavaScript; SQL; TypeScript,Java; JavaScript; TypeScript,NA
,10 to 11 years,NA,JavaScript; PHP; SQL,C++; C#; Java; JavaScript; PHP; SQL,NA
,19 to 20 years,NA,NA,NA,NA
,Less than a year,Singapore dollars (S$),C; C++; Java; Python,NA,NA
,2 to 3 years,NA,C; C++; JavaScript,Erlang; Go; JavaScript; Rust,NA
,12 to 13 years,NA,C#; Java; PHP,C++; Java; PHP,NA
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,4 to 5 years,Russian rubles (?),C#; Python,JavaScript; Ruby,NA
,20 or more years,Swedish kroner (SEK),C#; JavaScript; SQL,C#; JavaScript; Objective-C; SQL,NA
,9 to 10 years,British pounds sterling (£),JavaScript; PHP,Go; JavaScript; Python,43750
,1 to 2 years,Euros (€),C#; Haskell; Java; Perl; R; SQL; VB.NET,C; C++; C#; Java; Perl; Python,NA
,11 to 12 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,15 to 16 years,British pounds sterling (£),Hack; Java; JavaScript,Go; JavaScript,9.00E+04
,1 to 2 years,British pounds sterling (£),C#; JavaScript; SQL,PHP,3.00E+04
,10 to 11 years,U.S. dollars ($),JavaScript; PHP; SQL,Java; JavaScript; PHP; Python; R; Ruby; SQL; Swift,1.40E+04
,3 to 4 years,NA,Assembly; C; C++; Java; SQL; VB.NET; Visual Basic 6,C#; Java; PHP; SQL; Visual Basic 6,NA
,4 to 5 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),C#; SQL,C#; SQL,NA
,NA,NA,NA,NA,NA
,6 to 7 years,Russian rubles (?),C#; JavaScript,C#; JavaScript; Python; Scala,NA
,1 to 2 years,NA,C; Common Lisp; Python,Assembly; C; Common Lisp; Go; Python; SQL,NA
,14 to 15 years,NA,JavaScript; Objective-C; PHP; Swift,C++; Go; Java; Scala,NA
,7 to 8 years,Euros (€),JavaScript,Go; JavaScript; Python,48387.09677
,17 to 18 years,NA,C++; C#; JavaScript; TypeScript,C++; C#,109973.0458
,7 to 8 years,NA,C#; JavaScript; Ruby; SQL,C#; JavaScript; SQL,NA
,14 to 15 years,Russian rubles (?),C; C++; Erlang; Java; JavaScript; Python; SQL,Go; Rust; Scala,NA
,20 or more years,NA,JavaScript; PHP; Python; SQL; VB.NET,NA,NA
,20 or more years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,6 to 7 years,British pounds sterling (£),Java; Python,Java; JavaScript; Python,NA
,2 to 3 years,NA,Python,JavaScript; Python,NA
,7 to 8 years,NA,PHP; SQL,NA,NA
,9 to 10 years,Euros (€),C#; Java; PHP; SQL,NA,NA
,20 or more years,Swiss francs,NA,NA,NA
,9 to 10 years,Euros (€),C; C++; Python,NA,43010.75269
,13 to 14 years,NA,NA,NA,NA
,20 or more years,NA,C; C++; Java; Perl; PHP; Python; SQL,C; C++; C#; Java; JavaScript; PHP; Python; Ruby; SQL,NA
,19 to 20 years,British pounds sterling (£),Java; JavaScript,Java,56250
,20 or more years,British pounds sterling (£),C; C++; C#; SQL; VB.NET; VBA,NA,57937.5
,6 to 7 years,Euros (€),C#; JavaScript; PHP; TypeScript,C#; TypeScript,NA
,2 to 3 years,NA,C++; C#; SQL,C#; Objective-C; SQL,362.5954198
,13 to 14 years,Russian rubles (?),Assembly; Lua; Python,Assembly; Go; Java; Python; Ruby,48454.46951
,4 to 5 years,NA,NA,NA,NA
,9 to 10 years,NA,PHP; Python; SQL,Go; JavaScript; PHP; Python; SQL,NA
,20 or more years,NA,NA,NA,NA
,7 to 8 years,NA,C; Groovy; JavaScript; Python; Ruby,NA,NA
,1 to 2 years,NA,C#,Java; Ruby,NA
,18 to 19 years,Euros (€),Java; Objective-C; PHP,Swift,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,18 to 19 years,Euros (€),C#; SQL,NA,NA
,16 to 17 years,NA,C; C++; C#; Java; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,JavaScript; PHP; SQL,NA
,7 to 8 years,NA,CoffeeScript; Java; JavaScript; PHP; SQL,Go; Scala,NA
,17 to 18 years,NA,NA,NA,NA
,14 to 15 years,British pounds sterling (£),JavaScript; Python; Ruby,Go; Objective-C; Swift; TypeScript,66250
,1 to 2 years,Euros (€),PHP,Java,NA
,8 to 9 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,10 to 11 years,Swiss francs,PHP; SQL,C++; C#,87100
,5 to 6 years,NA,NA,NA,NA
,9 to 10 years,NA,C++; C#; JavaScript; SQL,C++; C#; JavaScript; SQL; VB.NET,NA
,4 to 5 years,NA,Java,NA,NA
,16 to 17 years,NA,Java; JavaScript; Lua; Python; TypeScript,JavaScript; Lua; Python,123989.2183
,9 to 10 years,NA,Java; JavaScript; PHP; SQL,NA,NA
,20 or more years,NA,C#; JavaScript; PHP; SQL; VBA,NA,NA
,9 to 10 years,NA,Go; PHP; Python,Assembly; C; C++; Elixir; Go; Python,NA
,18 to 19 years,NA,C#; JavaScript; PHP; SQL; VBA,Clojure; JavaScript; SQL; Swift,NA
,1 to 2 years,NA,NA,NA,NA
,6 to 7 years,Indian rupees (?),NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,14 to 15 years,Euros (€),C#; Java; Python; SQL; Visual Basic 6,C#; Python; SQL,69892.47312
,14 to 15 years,Euros (€),C#,C#; JavaScript,34408.60215
,15 to 16 years,Polish zloty (zl),JavaScript,TypeScript,NA
,19 to 20 years,Euros (€),C; C++; C#; JavaScript; Python; SQL,NA,NA
,5 to 6 years,Euros (€),NA,NA,NA
,NA,NA,C; Perl,C; Haskell; Perl,NA
,12 to 13 years,NA,Go; Groovy; Java; JavaScript; Objective-C; PHP; SQL,Elixir; Erlang; Swift,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; PHP; SQL,C#; JavaScript; PHP; R; SQL,8.30E+04
,13 to 14 years,NA,JavaScript; Python; Ruby; SQL,Python; Ruby; SQL,NA
,20 or more years,NA,C#; F#; JavaScript; SQL; VB.NET,Assembly; JavaScript,NA
,2 to 3 years,Euros (€),Java; JavaScript; Perl; Python,Java; JavaScript; PHP; Python; Scala,8602.150538
,6 to 7 years,Brazilian reais (R$),Java; JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL,NA
,14 to 15 years,Euros (€),C#; Groovy; Java; Matlab; SQL,Java; SQL,60215.05376
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,4 to 5 years,British pounds sterling (£),C#; JavaScript; SQL; VB.NET,C; C++; Objective-C; TypeScript,37500
,8 to 9 years,NA,NA,NA,NA
,4 to 5 years,NA,JavaScript; PHP; SQL,Go; JavaScript; PHP; SQL,NA
,15 to 16 years,NA,C#,C#; F#; JavaScript; TypeScript,NA
,5 to 6 years,Swiss francs,JavaScript; PHP; Ruby; SQL,Assembly; C; JavaScript; Objective-C; Ruby; Rust; Swift,1.00E+04
,5 to 6 years,Canadian dollars (C$),JavaScript; PHP; SQL,Python,NA
,11 to 12 years,British pounds sterling (£),Java; JavaScript,C#,NA
,2 to 3 years,Euros (€),C; C++; Java; JavaScript; PHP; SQL; TypeScript; VB.NET,Java; JavaScript; PHP; TypeScript,NA
,19 to 20 years,NA,NA,NA,NA
,7 to 8 years,Euros (€),JavaScript; PHP; Ruby; SQL,JavaScript; PHP; SQL,25806.45161
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,Python; Scala; Smalltalk; SQL,Clojure; JavaScript; Scala; Smalltalk,NA
,15 to 16 years,NA,NA,NA,NA
,4 to 5 years,Euros (€),C; JavaScript; SQL,C; C++; JavaScript,NA
,20 or more years,NA,NA,NA,NA
,8 to 9 years,British pounds sterling (£),JavaScript; Scala,JavaScript; Scala; TypeScript,NA
,13 to 14 years,NA,C#,C#; JavaScript; Python; Ruby; SQL; TypeScript,26595.05723
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,6 to 7 years,NA,Java,Scala; Swift,27027.02703
,Less than a year,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,Euros (€),C; C++; C#; Java; JavaScript; Lua; Objective-C; PHP; Python; Ruby; SQL; Swift,C; C++; C#; Go; Objective-C; Python; Swift,75268.8172
,6 to 7 years,NA,Java; PHP,JavaScript; PHP,NA
,20 or more years,NA,C++; C#; JavaScript; SQL; TypeScript; VB.NET; Visual Basic 6,NA,NA
,5 to 6 years,Euros (€),C; Groovy; Java; JavaScript; Matlab; Python,C; Groovy; Java; Python,21075.26882
,7 to 8 years,British pounds sterling (£),Java; JavaScript; Python,Java; JavaScript; Python; Scala,68750
,5 to 6 years,NA,NA,NA,NA
,20 or more years,Euros (€),C++; Ruby; Scala; SQL,C++; Ruby; Scala,55913.97849
,7 to 8 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,Go; JavaScript; PHP; SQL,Go; PHP; SQL; TypeScript,NA
,4 to 5 years,U.S. dollars ($),PHP; SQL,C; C++; C#; Java; Python; Ruby; VB.NET,40
,19 to 20 years,U.S. dollars ($),Groovy; Java; JavaScript; Objective-C; Perl; SQL; Swift,C#; Clojure; Groovy; Java; JavaScript; R; SQL; Swift,NA
,20 or more years,Polish zloty (zl),JavaScript,JavaScript,51851.85185
,5 to 6 years,NA,C#; JavaScript,C#; JavaScript; Python; TypeScript,NA
,2 to 3 years,Euros (€),Java; JavaScript; PHP; SQL,Java; JavaScript; SQL; Swift,12903.22581
,2 to 3 years,NA,NA,NA,NA
,11 to 12 years,Euros (€),Java; JavaScript; SQL,Java; Scala; TypeScript,29032.25806
,4 to 5 years,Euros (€),C++; Java; JavaScript; Python; Swift; TypeScript,C++; CoffeeScript; Java; JavaScript; Python; TypeScript,1478.494624
,15 to 16 years,Euros (€),JavaScript; PHP; Python; SQL,C; C++; C#; Java; TypeScript,41935.48387
,20 or more years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),NA,NA,NA
,11 to 12 years,NA,JavaScript; Python; SQL,C++; Python; Scala; SQL; TypeScript,NA
,3 to 4 years,NA,NA,NA,NA
,7 to 8 years,Euros (€),Java,Java,34946.23656
,4 to 5 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),JavaScript; PHP,Clojure; Elixir; Erlang; Go; Haskell; JavaScript; PHP,48924.73118
,2 to 3 years,British pounds sterling (£),Java; JavaScript; PHP; Python; SQL,C++; C#; Scala; Swift,18750
,6 to 7 years,NA,NA,NA,NA
,2 to 3 years,NA,Java; JavaScript; Scala; SQL,Clojure; Java; JavaScript; Scala,NA
,9 to 10 years,Swiss francs,Java,C++; Java,1.25E+05
,Less than a year,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,Euros (€),C++; C#,C++,64516.12903
,7 to 8 years,British pounds sterling (£),JavaScript; PHP; SQL; TypeScript,Java; JavaScript; PHP; Python; SQL; TypeScript,NA
,7 to 8 years,South African rands (R),C#; Java; JavaScript; TypeScript,C#; Java; JavaScript; Rust; TypeScript,NA
,3 to 4 years,NA,NA,NA,NA
,2 to 3 years,NA,C#; JavaScript; SQL; TypeScript; VB.NET,C++; C#; JavaScript; R; Scala; SQL; TypeScript,NA
,15 to 16 years,NA,Erlang; JavaScript; SQL,C++; Java; Objective-C,NA
,20 or more years,Euros (€),C++; C#; CoffeeScript; JavaScript; Objective-C; Perl; PHP; Ruby; SQL; Swift,CoffeeScript; JavaScript; PHP; SQL,44086.02151
,5 to 6 years,British pounds sterling (£),C#; JavaScript; SQL,NA,51250
,20 or more years,Euros (€),C; C++; Common Lisp; JavaScript; Lua,F#; Go; Haskell; Julia; Ruby; Rust,53763.44086
,20 or more years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,2 to 3 years,Euros (€),JavaScript,JavaScript,18064.51613
,5 to 6 years,Euros (€),C#; SQL,C#; SQL,NA
,20 or more years,NA,Java; JavaScript; PHP; Python; SQL,Haskell; Java; JavaScript; PHP; Python; SQL,NA
,14 to 15 years,NA,Python,Go; JavaScript,NA
,18 to 19 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,5 to 6 years,Euros (€),C#; JavaScript; PHP; Python; Ruby; SQL; TypeScript,C#; JavaScript; PHP; Python; Ruby; SQL,10752.68817
,4 to 5 years,NA,C#; JavaScript; Python; SQL; VB.NET,JavaScript; Python,NA
,Less than a year,Euros (€),C#; Python; VBA,C#; Java; PHP; Python; SQL; VBA,NA
,4 to 5 years,NA,NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,9 to 10 years,NA,Go; JavaScript; PHP; SQL; Swift,JavaScript; PHP; Swift,NA
,15 to 16 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,11 to 12 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,Indian rupees (?),C#; JavaScript,NA,3964.175598
,13 to 14 years,Euros (€),C; C++; C#; Java; JavaScript; Python; SQL; TypeScript; VBA,C; C++; C#; SQL; TypeScript,60215.05376
,1 to 2 years,NA,NA,NA,NA
,7 to 8 years,Euros (€),NA,NA,NA
,14 to 15 years,NA,C; Python,C; Go; Python,NA
,16 to 17 years,U.S. dollars ($),JavaScript; PHP,JavaScript; PHP; Python; Scala,NA
,20 or more years,Euros (€),C; Ruby,C; Go; Python; Ruby,NA
,6 to 7 years,NA,NA,NA,NA
,2 to 3 years,British pounds sterling (£),Lua; PHP; Python,C++; C#,NA
,16 to 17 years,NA,Matlab; Python,Python; Scala; Swift,NA
,4 to 5 years,Indian rupees (?),C#; Java; JavaScript; SQL,C++; C#; Java; JavaScript; SQL,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,14 to 15 years,NA,C; JavaScript; Objective-C; PHP; SQL,Rust,NA
,18 to 19 years,Euros (€),C; C++; Java; JavaScript; Python; SQL,Assembly; C; C++; Python,75268.8172
,5 to 6 years,NA,C++; C#; Java,C++; C#; Java,NA
,9 to 10 years,NA,C; C++; Java; JavaScript; PHP,Python,NA
,11 to 12 years,British pounds sterling (£),NA,NA,NA
,13 to 14 years,NA,C#; JavaScript; SQL,Go; PHP,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,C; C++; Java; JavaScript; Matlab; PHP; Python; SQL,C; C++; Go; Java; JavaScript; Matlab; Python,NA
,20 or more years,NA,JavaScript; PHP; Python,JavaScript; Python,NA
,8 to 9 years,NA,C++; Java; JavaScript; R,C++; JavaScript; Python,NA
,1 to 2 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,Euros (€),NA,NA,37634.4086
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,CoffeeScript; Java; JavaScript; PHP; Swift,Dart; Go; Groovy; JavaScript; Swift; TypeScript,NA
,11 to 12 years,NA,JavaScript; PHP; SQL,C#; JavaScript; PHP; SQL,NA
,20 or more years,NA,Go; JavaScript; Python; SQL,Go; JavaScript; Python,NA
,4 to 5 years,Euros (€),C#; JavaScript; SQL,TypeScript,NA
,7 to 8 years,NA,C#; JavaScript; SQL,C#,NA
,2 to 3 years,NA,NA,C++; C#; Python; R,NA
,Less than a year,NA,NA,NA,NA
,3 to 4 years,Swiss francs,Assembly; C; C#; Java; JavaScript; PHP; SQL; TypeScript,C#; JavaScript; PHP; SQL; TypeScript,NA
,Less than a year,NA,C++,Java; JavaScript; Python,NA
,20 or more years,NA,Python,Clojure; Python; Scala,NA
,6 to 7 years,NA,NA,NA,NA
,14 to 15 years,NA,C#; Java; JavaScript,C++; Java; JavaScript; Swift,NA
,5 to 6 years,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,11 to 12 years,NA,C; C++; Matlab; Python,Assembly; C; C++,NA
,2 to 3 years,Indian rupees (?),NA,NA,NA
,10 to 11 years,NA,Java; JavaScript; PHP; Python; SQL; TypeScript,Clojure; Go; JavaScript; PHP; Python; Scala; SQL; TypeScript,NA
,20 or more years,NA,C#; JavaScript; SQL,C#; JavaScript; SQL,NA
,14 to 15 years,British pounds sterling (£),C#; JavaScript; SQL; VB.NET,C#; JavaScript; VB.NET,36250
,9 to 10 years,British pounds sterling (£),JavaScript; PHP,JavaScript; PHP; Ruby; Swift,2.50E+04
,17 to 18 years,NA,NA,NA,NA
,20 or more years,Euros (€),C#; Python,C#; SQL,45161.29032
,14 to 15 years,Euros (€),C++; Python; Ruby; SQL,C++,NA
,9 to 10 years,NA,Java; JavaScript; Python; R,Java; Python; R,NA
,4 to 5 years,NA,C++; Matlab,Assembly,NA
,3 to 4 years,NA,C; C#; Java; Python,C; C#; Python,NA
,1 to 2 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),C#; SQL,C#; JavaScript; SQL,47096.77419
,5 to 6 years,NA,Java; JavaScript; SQL,JavaScript,NA
,4 to 5 years,Euros (€),C#; Objective-C; Swift,Objective-C; Swift,NA
,Less than a year,NA,C; Java,C++; C#; Java; VBA,NA
,6 to 7 years,Indian rupees (?),NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,Euros (€),C#; Java; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,C#; JavaScript; Python; SQL; VB.NET; VBA; Visual Basic 6,16129.03226
,1 to 2 years,U.S. dollars ($),JavaScript; PHP,JavaScript,NA
,2 to 3 years,Indian rupees (?),NA,NA,367.0532961
,8 to 9 years,NA,JavaScript; Python; SQL,Java; SQL,1546.763826
,17 to 18 years,NA,CoffeeScript; Java; JavaScript; Perl; PHP; Python; Ruby,CoffeeScript; Java; JavaScript; Python; Scala,NA
,6 to 7 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),NA,NA,NA
,12 to 13 years,NA,Go; Java; Python,Go; Java; Python,NA
,1 to 2 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,1 to 2 years,NA,PHP,Python,1588.562351
,20 or more years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),JavaScript; PHP; SQL,Assembly; JavaScript; PHP; Python; SQL,NA
,1 to 2 years,NA,C#; JavaScript; Python; SQL,CoffeeScript; Go; Python; R; SQL; Swift; TypeScript,NA
,1 to 2 years,British pounds sterling (£),JavaScript,NA,31250
,5 to 6 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C#; SQL,C#; SQL,53750
,20 or more years,NA,C++; JavaScript; Ruby,Elixir; Haskell; Julia; Rust,NA
,7 to 8 years,Indian rupees (?),NA,NA,NA
,4 to 5 years,U.S. dollars ($),C; C++; Java; PHP; Python; Ruby,NA,NA
,20 or more years,Euros (€),NA,NA,NA
,11 to 12 years,NA,JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL,NA
,6 to 7 years,Euros (€),JavaScript; PHP; Python,JavaScript; Lua; PHP; Python; Ruby,NA
,20 or more years,NA,JavaScript; SQL,Java; JavaScript; SQL,NA
,20 or more years,NA,C++; Java; JavaScript; Objective-C; SQL; Swift,C#; Java; JavaScript; SQL; Swift,NA
,2 to 3 years,Euros (€),Assembly; C; C++; C#; SQL,C; C++; SQL,NA
,6 to 7 years,British pounds sterling (£),NA,NA,NA
,20 or more years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,Go; Python,Go; Python,NA
,5 to 6 years,NA,C#,C#,NA
,15 to 16 years,U.S. dollars ($),NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,15 to 16 years,NA,Java; JavaScript; PHP; SQL,Go; Java; JavaScript,NA
,5 to 6 years,NA,NA,NA,NA
,17 to 18 years,Polish zloty (zl),JavaScript,JavaScript; Objective-C; SQL; Swift; VBA; Visual Basic 6,NA
,9 to 10 years,Euros (€),Java; JavaScript; SQL,C; C++,NA
,3 to 4 years,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),C++; C#; Java,C++; C#; Java,NA
,20 or more years,NA,C#; JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; Python; R; SQL,NA
,20 or more years,NA,JavaScript; PHP; SQL,JavaScript,NA
,10 to 11 years,British pounds sterling (£),NA,NA,NA
,5 to 6 years,NA,Java,Python,NA
,11 to 12 years,NA,PHP; SQL; VBA,C#; Python,NA
,20 or more years,Euros (€),NA,NA,NA
,12 to 13 years,Russian rubles (?),C; C++; C#; Java; JavaScript; Objective-C,C; C++; C#; Java; JavaScript; Objective-C,1336.675021
,14 to 15 years,NA,NA,NA,NA
,7 to 8 years,Euros (€),Assembly; C; C++; C#; Erlang; Haskell; Java; JavaScript; Julia; Lua; Perl,Assembly; C; C++; C#,NA
,20 or more years,Euros (€),C; C++; JavaScript; Python,C; C++; JavaScript; Python,NA
,NA,NA,NA,NA,NA
,18 to 19 years,NA,NA,C; C++,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,Euros (€),C; C++; C#; Java; JavaScript; PHP,Assembly; C++,NA
,Less than a year,Euros (€),NA,JavaScript; PHP; Ruby; Rust; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,20 or more years,NA,JavaScript; PHP; Python; SQL,JavaScript; PHP; Python; SQL,NA
,11 to 12 years,Swedish kroner (SEK),C#,C++; C#,51583.71041
,1 to 2 years,NA,C++; JavaScript; PHP; Python,CoffeeScript; JavaScript,NA
,4 to 5 years,Brazilian reais (R$),Assembly; C; Python,Assembly; C; Python,NA
,2 to 3 years,NA,Java; JavaScript; Python; SQL; TypeScript,NA,NA
,6 to 7 years,NA,Java; JavaScript; Perl; SQL; VBA,JavaScript; Perl; SQL,NA
,7 to 8 years,NA,C#; Java; Python; SQL,Java; Python; Scala; SQL,NA
,2 to 3 years,NA,Assembly; C++; C#; Common Lisp; F#,C++; C#; Go; Java; Lua; SQL,NA
,4 to 5 years,NA,C#; Java,C#; Java; JavaScript,NA
,18 to 19 years,NA,NA,NA,NA
,13 to 14 years,Euros (€),C++; Java; JavaScript; PHP; Python; Scala; SQL; TypeScript,C#; Go; JavaScript; Python; Ruby; TypeScript,39784.94624
,5 to 6 years,NA,Java; SQL,C#; Groovy; Java; JavaScript; SQL,NA
,20 or more years,Polish zloty (zl),SQL,C#; JavaScript; Python; SQL; TypeScript,21728.39506
,2 to 3 years,Chinese yuan renminbi (¥),C; C++; Java; JavaScript; Matlab; PHP; SQL,Matlab; PHP; Python; SQL,NA
,5 to 6 years,Indian rupees (?),C#; JavaScript; PHP; SQL,C#; Go; Java; JavaScript; PHP; Python; SQL; Swift; TypeScript,NA
,20 or more years,Euros (€),C#; F#,C#,118279.5699
,7 to 8 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),NA,NA,NA
,17 to 18 years,British pounds sterling (£),Java; JavaScript; SQL; TypeScript,R; Scala,NA
,9 to 10 years,NA,NA,NA,NA
,4 to 5 years,NA,C#; JavaScript; PHP; Python; SQL,C#; JavaScript; SQL,NA
,9 to 10 years,NA,JavaScript; PHP,Elixir; Erlang; JavaScript; PHP,NA
,2 to 3 years,NA,PHP; SQL,C#; Java; JavaScript,NA
,20 or more years,NA,C++; Python; SQL,C++; Python; SQL,NA
,4 to 5 years,British pounds sterling (£),JavaScript; PHP; SQL,JavaScript; PHP; Python; SQL; Swift,42500
,3 to 4 years,NA,NA,NA,NA
,12 to 13 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),C#; Java,Python; R,1.10E+04
,4 to 5 years,Canadian dollars (C$),C; C++; C#; Java; Matlab; Objective-C; Python,C; C++; Common Lisp; Matlab,NA
,19 to 20 years,NA,C++; Matlab,C++; Matlab,NA
,15 to 16 years,British pounds sterling (£),C; C++; C#; Objective-C; Python; SQL,NA,87500
,4 to 5 years,Swedish kroner (SEK),JavaScript,C++; JavaScript; Python,0
,12 to 13 years,NA,Java; R; SQL,JavaScript; TypeScript,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C; C++; C#; Java; Lua; Objective-C; Perl; PHP; Smalltalk; SQL; VB.NET; VBA; Visual Basic 6,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,46875
,6 to 7 years,NA,C; C++; Java; Python; Ruby; SQL; Swift,C++; Objective-C; PHP; Swift,NA
,1 to 2 years,NA,C; C++; Java; JavaScript; Matlab,C#; Go; R; SQL,NA
,2 to 3 years,Indian rupees (?),Java; PHP; SQL,Java; JavaScript; PHP; SQL; Swift,176.1855821
,6 to 7 years,Euros (€),JavaScript; SQL; Swift,C++; Elixir; Go; Java; JavaScript; Rust; SQL; Swift,43010.75269
,16 to 17 years,NA,NA,NA,NA
,3 to 4 years,British pounds sterling (£),NA,NA,22500
,9 to 10 years,Brazilian reais (R$),C#; Java; Objective-C; Ruby; Swift,Python; R; Swift,41401.27389
,6 to 7 years,NA,C++,Common Lisp; Perl; Scala,NA
,7 to 8 years,NA,NA,NA,NA
,12 to 13 years,Euros (€),C#; JavaScript; SQL,C#; JavaScript; SQL; TypeScript,37634.4086
,1 to 2 years,NA,C; Python,C; Python,NA
,4 to 5 years,NA,NA,NA,NA
,5 to 6 years,NA,C,C#,1349.862259
,10 to 11 years,Euros (€),C#; Java; JavaScript; PHP; SQL; TypeScript,C#; PHP; SQL; TypeScript,NA
,6 to 7 years,NA,C#; CoffeeScript; JavaScript; SQL; TypeScript; VB.NET,Assembly; C++,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,NA,C++; Java; JavaScript,C++; Java; JavaScript,NA
,Less than a year,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,2 to 3 years,NA,SQL,SQL,NA
,2 to 3 years,Euros (€),NA,NA,NA
,20 or more years,British pounds sterling (£),C; C#,C; PHP; Python,NA
,5 to 6 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),NA,NA,NA
,10 to 11 years,NA,R; SQL,Julia; Python; R; SQL,NA
,1 to 2 years,NA,Python,Java,NA
,4 to 5 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,9 to 10 years,British pounds sterling (£),C++; C#; JavaScript; PHP; Python; SQL,TypeScript,NA
,8 to 9 years,NA,NA,NA,NA
,5 to 6 years,NA,Java; JavaScript; PHP,NA,NA
,3 to 4 years,NA,JavaScript; TypeScript,JavaScript; TypeScript,NA
,Less than a year,NA,NA,NA,NA
,8 to 9 years,NA,C#; Java,Java,NA
,8 to 9 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,PHP; Python,Python,NA
,3 to 4 years,Euros (€),NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
